Player,Player ID,TJ Surgery Date,End date,Team,# of pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
Rafael Soriano,1100,8/17/2004,SEA,Y,7874,60.20%,93,25.50%,82.9,13.10%,90.9,0.10%,78.8,1.00%,85.5,0.10%,85,,,1.90%
Jason Stanford,1763,7/29/2004,CLE,Y,408,58.20%,86.8,8.00%,79.2,,,2.50%,69.9,31.30%,78.8,,,,,1.50%
Mike Lincoln,1457,7/13/2004,STL,Y,1893,53.20%,90.5,2.70%,84.9,8.40%,87.7,31.70%,76.6,4.00%,83.2,,,,,1.60%
Jason Shiell,1625,5/24/2004,BOS,Y,321,53.80%,86.5,32.00%,81.5,0.30%,84,5.70%,77.5,8.20%,79.6,,,,,1.60%
Fernando Rodney,494,4/29/2004,DET,Y,9627,62.90%,95.3,1.60%,88.1,0.00%,87,,,35.50%,83.3,0.00%,83.8,,,3.10%
Jorge De Paula,1827,4/22/2004,NYY,Y,112,47.30%,87.5,1.80%,76,,,11.60%,76.7,39.30%,80.9,,,,,
Miguel Asencio,586,3/29/2004,KC,Y,133,64.10%,91.3,9.20%,80.6,,,,,26.70%,83,,,,,1.50%
Chris Spurling,1668,3/4/2004,DET,Y,2116,70.10%,89.8,26.30%,82.8,0.10%,89.5,0.30%,77.3,3.20%,83.2,,,,,4.90%
Mike Fetters,988,10/8/2003,MIN,Y,338,53.90%,88.9,12.90%,82.9,,,3.20%,79.1,16.70%,81.6,13.30%,82.2,,,5.60%
Billy Traber,410,9/21/2003,CLE,Y,1722,57.70%,85,8.50%,81.1,,,21.50%,68.5,12.20%,74.4,,,,,8.80%
Joe Mays,740,9/11/2003,MIN,Y,3299,67.90%,88.3,8.00%,82.7,0.20%,83.8,9.30%,76.3,14.50%,79.8,,,,,10.90%
Runelvys Hernandez,1528,9/5/2003,KC,Y,4785,58.50%,89.6,15.80%,81.9,0.10%,88.3,1.80%,77.4,23.90%,80,,,,,5.20%
Ryan Dempster,517,8/4/2003,CIN,Y,23681,52.40%,90.7,31.70%,85,2.10%,87.5,0.00%,84.9,4.80%,83.2,9.00%,81.5,,,1.10%
Seth McClung,1657,6/26/2003,TB,Y,7074,71.80%,93.5,5.50%,84,0.10%,89.9,19.70%,77.7,2.90%,84,,,,,1.70%
Brian Moehler,480,5/29/2003,HOU,Y,11089,61.40%,88.1,6.00%,82.4,11.20%,85.8,8.80%,77.5,12.70%,80.5,0.00%,82,,,2.70%
A.J. Burnett,512,4/29/2003,MIA,Y,30696,63.80%,93.8,0.40%,84.2,,,29.80%,81.8,6.10%,87.4,,,,,1.40%
Matt Wise,42,3/25/2003,LAA,Y,3728,46.40%,87.5,1.90%,80.4,,,1.30%,77.2,50.40%,79.1,0.00%,79,,,7.50%
Jayson Durocher,1497,1/1/2003,MIL,Y,118,64.10%,93.2,13.70%,83.1,,,,,0.90%,84,21.40%,83.4,,,0.90%
Bob Wickman,413,12/9/2002,CLE,Y,3146,68.10%,90.8,28.20%,82.8,0.30%,88.1,2.40%,78.7,1.00%,82.9,,,,,1.70%
Jon Lieber,287,8/8/2002,CHC,Y,10046,57.70%,88.6,34.70%,82.6,0.30%,87.5,0.10%,,7.20%,82.1,0.10%,88.4,,,4.20%
Danny Patterson,485,6/28/2002,DET,Y,895,61.00%,88.7,5.40%,80.6,,,5.70%,76.6,19.40%,79.5,8.40%,78.5,,,21.80%
Brian Tollberg,1055,6/5/2002,SD,Y,149,73.20%,84.5,,,,,20.10%,72.7,6.70%,77,,,,,
