Player,Player ID,TJ Surgery Date,Team,Majors,Pitches,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
Carlos Monasterios,2506,7/15/2011,LAD,Y,1489,0.64,90.1,0.08,81.8,,,0.11,75.6,0.18,77.6,,,,,0.01
Brett Anderson,8223,7/14/2011,OAK,Y,5968,0.51,92.1,0.34,82.9,,,0.08,76.9,0.08,83.8,,,,,0.01
Joba Chamberlain,2692,6/16/2011,NYY,Y,6385,0.64,93.9,0.25,85.5,,,0.08,78.3,0.03,82.4,,,,,0.03
Daisuke Matsuzaka,7775,6/10/2011,BOS,Y,10763,0.54,91.7,0.2,81.7,0.15,88.6,0.03,77.9,0.05,81.3,0.03,83.2,,,0.01
Rich Hill,4806,6/9/2011,BOS,Y,6863,0.62,89.2,0.02,81.7,0,86.9,0.3,72.2,0.06,81,,,,,0.02
Jorge De La Rosa,2047,6/3/2011,COL,Y,13139,0.58,92.8,0.12,84.4,0,84,0.09,74.4,0.21,83.7,,,,,0.02
Mason Tobin,2534,6/2/2011,TEX,Y,94,0.69,92.6,0.1,81.9,,,,,0.21,80.8,,,,,
Jenrry Mejia,8476,5/16/2011,NYM,Y,712,0.76,94.6,,,,,0.1,79,0.13,86.6,,,,,0.02
Cla Meredith,7613,3/2/2011,BAL,Y,4189,0.75,85.4,0.22,78.1,,,,,0.03,77,,,,,0.04
Adam Wainwright,2233,2/28/2011,STL,Y,13321,0.51,90.6,0.18,84.8,,,0.23,73.6,0.08,81.9,,,,,0.01
Jamie Moyer,1091,12/1/2010,PHI,Y,27557,0.46,81.6,0.03,78.7,0.14,79.2,0.1,71.3,0.28,74.8,,,,,0.04
Hector Ambriz,559,10/1/2010,CLE,Y,836,0.65,93,0.28,84.6,,,0.07,75.9,,,,,,,0.01
Manuel Corpas,2807,9/8/2010,CHC,Y,4260,0.66,91.8,0.33,81.2,,,,,0,80.9,,,,,0.02
Stephen Strasburg,10131,9/3/2010,WAS,Y,1073,0.58,97.3,,,,,0.26,82.4,0.17,89.7,,,,,0.01
Shawn Kelley,7773,9/1/2010,SEA,Y,1195,0.68,93,0.29,83.5,,,,,0.03,84.5,,,,,0.02
Erick Threets,3158,8/28/2010,CHW,Y,412,0.73,93.6,0.16,83.2,,,0.01,78,0.11,79.7,,,,,0.02
Kris Medlen,9417,8/18/2010,ATL,Y,2692,0.63,90.2,,,,,0.13,78.8,0.24,80.7,,,,,0.02
Ben Sheets,710,8/10/2010,OAK,Y,21573,0.64,92.5,0.01,84.5,0,87,0.31,79.8,0.05,84.2,0,86,,,0.06
Zach Miner,3193,5/28/2010,DET,Y,6232,0.63,91.4,0.1,83.5,,,0.07,74.1,0.2,80.4,,,,,0.02
Junichi Tazawa,4079,4/6/2010,BOS,Y,498,0.66,89.7,,,,,0.23,75.2,,,0.12,81.1,,,
Joe Nathan,1122,3/26/2010,MIN,Y,8143,0.63,94,0.26,87.8,0,90.8,0.1,81.1,0.01,84.6,0,88,,,0.06
Jose Arredondo,4722,2/2/2010,LAA,Y,1720,0.62,93.1,0.09,85.1,,,,,0.07,84.4,0.22,84.6,,,0.02
Clay Zavada,8577,1/1/2010,ARI,Y,872,0.54,88.5,,,0.05,81.3,0.08,73,0.33,80.6,,,,,0.01
Edinson Volquez,3990,8/3/2009,CIN,Y,5766,0.59,93.6,0.05,81.9,,,0.09,78.1,0.28,82.1,,,,,0.01
Tyler Yates,1527,7/14/2009,PIT,Y,4234,0.69,94.2,0.27,87.8,,,0.01,77.7,0.03,86.1,0,87,,,0.04
Neal Cotts,1797,7/2/2009,CHC,Y,4728,0.74,90.3,0.17,84.1,,,0.05,76.6,0.04,81.3,,,,,0.05
Josh Outman,4004,6/30/2009,OAK,Y,1541,0.61,93.1,0.18,81.8,,,0.06,76,0.16,81.9,,,,,0.01
Anthony Reyes,7105,6/12/2009,CLE,Y,4924,0.67,89.7,0.02,76.6,,,0.15,76.4,0.16,76.6,,,,,0.03
